t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1789943228.78813,2103,3.85,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.8689144,2105,15.96,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.9132667,2106,28.69,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.986072,2107,32.91,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.0234375,2109,3.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.0992353,2110,48.87,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.135107,2111,11.48,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.201739,2113,6.98,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.2380412,2114,10.93,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.311872,2115,19.93,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
